strategy,trial,final_bankroll,net_profit,n_ruin_events,ev_per_hand
min_bet,0,10086.0,86.0,0,0.0172
min_bet,1,9952.0,-48.0,0,-0.0096
min_bet,2,10020.5,20.5,0,0.0041
min_bet,3,9802.0,-198.0,0,-0.0396
min_bet,4,10082.0,82.0,0,0.0164
min_bet,5,9832.0,-168.0,0,-0.0336
min_bet,6,9865.0,-135.0,0,-0.027
min_bet,7,9924.0,-76.0,0,-0.0152
min_bet,8,10047.0,47.0,0,0.0094
min_bet,9,9935.0,-65.0,0,-0.013
min_bet,10,9974.0,-26.0,0,-0.0052
min_bet,11,9944.0,-56.0,0,-0.0112
min_bet,12,10132.0,132.0,0,0.0264
min_bet,13,10008.0,8.0,0,0.0016
min_bet,14,9972.0,-28.0,0,-0.0056
min_bet,15,9993.5,-6.5,0,-0.0013
min_bet,16,9859.5,-140.5,0,-0.0281
min_bet,17,10058.5,58.5,0,0.0117
min_bet,18,10061.0,61.0,0,0.0122
min_bet,19,9887.5,-112.5,0,-0.0225
min_bet,20,10099.5,99.5,0,0.0199
min_bet,21,10121.0,121.0,0,0.0242
min_bet,22,9918.5,-81.5,0,-0.0163
min_bet,23,10032.0,32.0,0,0.0064
min_bet,24,9966.0,-34.0,0,-0.0068
min_bet,25,10027.0,27.0,0,0.0054
min_bet,26,10040.0,40.0,0,0.008
min_bet,27,9988.0,-12.0,0,-0.0024
min_bet,28,9909.5,-90.5,0,-0.0181
min_bet,29,9829.0,-171.0,0,-0.0342
mid_bet,0,6667.0,-3333.0,0,-0.6666
mid_bet,1,11893.75,1893.75,0,0.37875
mid_bet,2,5025.75,-4974.25,0,-0.99485
mid_bet,3,9368.75,-631.25,0,-0.12625
mid_bet,4,10808.0,808.0,0,0.1616
mid_bet,5,8409.25,-1590.75,0,-0.31815
mid_bet,6,7222.5,-2777.5,0,-0.5555
mid_bet,7,5707.5,-4292.5,0,-0.8585
mid_bet,8,9116.25,-883.75,0,-0.17675
mid_bet,9,3334.0,-6666.0,0,-1.3332
mid_bet,10,7247.75,-2752.25,0,-0.55045
mid_bet,11,9570.75,-429.25,0,-0.08585
mid_bet,12,10202.0,202.0,0,0.0404
mid_bet,13,20352.5,10352.5,0,2.0705
mid_bet,14,8687.0,-1313.0,0,-0.2626
mid_bet,15,6035.75,-3964.25,0,-0.79285
mid_bet,16,8207.25,-1792.75,0,-0.35855
mid_bet,17,13282.5,3282.5,0,0.6565
mid_bet,18,3738.0,-6262.0,0,-1.2524
mid_bet,19,9318.25,-681.75,0,-0.13635
mid_bet,20,5657.0,-4343.0,0,-0.8686
mid_bet,21,9015.25,-984.75,1,-2.20685
mid_bet,22,13838.0,3838.0,0,0.7676
mid_bet,23,11818.0,1818.0,0,0.3636
mid_bet,24,9924.25,-75.75,0,-0.01515
mid_bet,25,6263.0,-3737.0,0,-0.7474
mid_bet,26,13939.0,3939.0,0,0.7878
mid_bet,27,5303.5,-4696.5,0,-0.9393
mid_bet,28,12600.75,2600.75,0,0.52015
mid_bet,29,9798.0,-202.0,0,-0.0404
max_bet,0,10700.0,700.0,0,0.14
max_bet,1,21500.0,11500.0,0,2.3
max_bet,2,6450.0,-3550.0,1,-2.72
max_bet,3,7900.0,-2100.0,0,-0.42
max_bet,4,10600.0,600.0,0,0.12
max_bet,5,23950.0,13950.0,0,2.79
max_bet,6,8800.0,-1200.0,2,-4.24
max_bet,7,7000.0,-3000.0,0,-0.6
max_bet,8,4450.0,-5550.0,0,-1.11
max_bet,9,6350.0,-3650.0,0,-0.73
max_bet,10,6450.0,-3550.0,1,-2.74
max_bet,11,9600.0,-400.0,0,-0.08
max_bet,12,10150.0,150.0,2,-4.03
max_bet,13,2050.0,-7950.0,1,-3.61
max_bet,14,20850.0,10850.0,0,2.17
max_bet,15,11300.0,1300.0,1,-1.74
max_bet,16,24450.0,14450.0,0,2.89
max_bet,17,25200.0,15200.0,0,3.04
max_bet,18,22150.0,12150.0,1,0.42
max_bet,19,15250.0,5250.0,1,-0.97
max_bet,20,10700.0,700.0,0,0.14
max_bet,21,14500.0,4500.0,1,-1.1
max_bet,22,15250.0,5250.0,0,1.05
max_bet,23,6450.0,-3550.0,0,-0.71
max_bet,24,5300.0,-4700.0,0,-0.94
max_bet,25,6650.0,-3350.0,0,-0.67
max_bet,26,5850.0,-4150.0,1,-2.84
max_bet,27,9000.0,-1000.0,0,-0.2
max_bet,28,15900.0,5900.0,0,1.18
max_bet,29,6050.0,-3950.0,1,-2.8
prop_bet,0,10177.56027189974,177.56027189973975,0,0.03551205437994667
prop_bet,1,1951.910611814079,-8048.089388185921,0,-1.60961787763719
prop_bet,2,10353.577300404637,353.57730040463684,0,0.07071546008093282
prop_bet,3,5028.505414878141,-4971.494585121859,0,-0.9942989170243747
prop_bet,4,5994.051133433215,-4005.948866566785,0,-0.8011897733133512
prop_bet,5,14059.856219859066,4059.856219859066,0,0.8119712439718136
prop_bet,6,2244.5054551788917,-7755.494544821108,0,-1.551098908964219
prop_bet,7,2685.0545051768627,-7314.945494823138,0,-1.4629890989646295
prop_bet,8,17188.303733689518,7188.303733689518,0,1.4376607467379043
prop_bet,9,3582.959405523282,-6417.040594476718,0,-1.283408118895348
prop_bet,10,14230.37208005372,4230.372080053719,0,0.8460744160107464
prop_bet,11,19529.25924944898,9529.25924944898,0,1.905851849889795
prop_bet,12,17993.9409089596,7993.940908959601,0,1.5987881817919203
prop_bet,13,8474.123484431877,-1525.876515568123,0,-0.3051753031136222
prop_bet,14,1679.255947761535,-8320.744052238464,0,-1.6641488104476925
prop_bet,15,14718.186581828919,4718.186581828919,0,0.9436373163657849
prop_bet,16,2877.718544765082,-7122.281455234918,0,-1.4244562910469831
prop_bet,17,22796.380499103692,12796.380499103692,0,2.5592760998207393
prop_bet,18,14457.41175983498,4457.41175983498,0,0.8914823519669988
prop_bet,19,2329.6081510401764,-7670.391848959824,0,-1.5340783697919576
prop_bet,20,1212.1401570120777,-8787.859842987922,0,-1.7575719685975877
prop_bet,21,4042.0843005192983,-5957.915699480702,0,-1.1915831398961396
prop_bet,22,5155.143834745326,-4844.856165254674,0,-0.9689712330509425
prop_bet,23,648.2848771161512,-9351.715122883848,0,-1.8703430245767676
prop_bet,24,10712.59292626777,712.5929262677691,0,0.1425185852535587
